Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermComponents
ВЫПОЛНИВШИЙ ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;выполненного функционального вызова;91;CombTerm;1;2;False;ВЫПОЛНИВШИЙ ВЫЗОВ(1),  ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(841),  
НАЗЫВАЮЩЕЕ КЛЮЧЕВОЕ СЛОВО;называемые ключевые слова;93;CombTerm;1;2;False;НАЗЫВАЮЩЕЕ СЛОВО(1),  КЛЮЧЕВОЕ СЛОВО(16),  
СФОРМИРОВАВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ;сформирован рекурсивный вызов;98;CombTerm;1;2;False;СФОРМИРОВАВШИЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(625),  
РЕАЛИЗОВАВШАЯ ВСТРОИВШАЯ ФУНКЦИЯ;реализована встроенная функция;33;CombTerm;1;2;False;РЕАЛИЗОВАВШАЯ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  
ГОД ПРОШЛОГО ВЕКА;годах прошлого века;2;CombTerm;1;2;False;ПРОШЛЫЙ ВЕК(1),  ПРОШЛОЕ ВЕКО(1),  ГОД ВЕКА(1),  
ОБЛАСТЬ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА;области искусственного интеллекта;2;CombTerm;1;2;False;ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ(1),  ОБЛАСТЬ ИНТЕЛЛЕКТА(1),  
ЗАДАЧА ИСКУССТВЕННОГО ИНТЕЛЛЕКТА;задач искусственного интеллекта;2;CombTerm;2;2;False;ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ(4),  ЗАДАЧА ИНТЕЛЛЕКТА(4),  
ПРЕДСТАВИТЕЛЬ ФУНКЦИОНАЛЬНОЙ ПАРАДИГМЫ;представителей функциональной парадигмы;2;CombTerm;1;0;False;ФУНКЦИОНАЛЬНАЯ ПАРАДИГМА(1),  ПРЕДСТАВИТЕЛЬ ПАРАДИГМЫ(1),  
МОЩНОСТЬ ЯЗЫКОВЫХ СРЕДСТВ;мощностью языковых средств;2;CombTerm;1;2;False;ЯЗЫКОВОЕ СРЕДСТВО(1),  МОЩНОСТЬ СРЕДСТВ(1),  
ПРИНЦИП ФУНКЦИОНАЛЬНОЙ ПАРАДИГМЫ;принципы функциональной парадигмы;2;CombTerm;1;0;False;ФУНКЦИОНАЛЬНАЯ ПАРАДИГМА(1),  ПРИНЦИП ПАРАДИГМЫ(1),  
ПОСТРОЕНИЕ РЕКУРСИВНЫХ ПРОГРАММ;построения рекурсивных программ;2;CombTerm;2;0;False;РЕКУРСИВНАЯ ПРОГРАММА(4),  ПОСТРОЕНИЕ ПРОГРАММ(4),  
РЯД ВАЖНЫХ ОСОБЕННОСТЕЙ;ряд важных особенностей;3;CombTerm;1;2;False;ВАЖНАЯ ОСОБЕННОСТЬ(1),  
ПРИНЦИП СТРОГОЙ ФУНКЦИОНАЛЬНОСТИ;принципы строгой функциональности;3;CombTerm;1;2;False;СТРОГАЯ ФУНКЦИОНАЛЬНОСТЬ(1),  ПРИНЦИП ФУНКЦИОНАЛЬНОСТИ(1),  
ДАВЛЕНИЕ ИМПЕРАТИВНОЙ ПАРАДИГМЫ;давлением императивной парадигмы;3;CombTerm;1;0;False;ИМПЕРАТИВНАЯ ПАРАДИГМА(1),  ДАВЛЕНИЕ ПАРАДИГМЫ(1),  
ЗАПИСЬ СИМВОЛЬНЫХ АТОМОВ;записи символьных атомов;3;CombTerm;1;2;False;СИМВОЛЬНЫЙ АТОМ(1),  ЗАПИСЬ АТОМОВ(1),  
АТОМ БАЗОВОГО ЛИСПА;атомов базового Лиспа;3;CombTerm;1;0;False;БАЗОВЫЙ ЛИСП(1),  АТОМ ЛИСПА(1),  
КОНСТАНТА СОСТАВНОГО ТИПА;константой составного типа;4;CombTerm;1;0;False;СОСТАВНОЙ ТИП(1),  
ЗАПИСЬ ПУСТОГО СПИСКА;запись пустого списка;5;CombTerm;1;0;False;ПУСТОЙ СПИСОК(1),  ЗАПИСЬ СПИСКА(1),  
ИМЯ ФОРМАЛЬНОГО ПАРАМЕТРА;имя формального параметра;5;CombTerm;3;4;False;ФОРМАЛЬНЫЙ ПАРАМЕТР(9),  
ФУНКЦИЯ БАЗОВОГО НАБОРА;функции базового набора;7;CombTerm;7;14;False;БАЗОВЫЙ НАБОР(49),  ФУНКЦИЯ НАБОРА(49),  
АРГУМЕНТ ОБЫЧНЫХ ФУНКЦИЙ;аргументов обычных функций;8;CombTerm;1;0;False;ОБЫЧНАЯ ФУНКЦИЯ(1),  АРГУМЕНТ ФУНКЦИЙ(1),  
ВЕТВЬ УСЛОВНОГО ВЫРАЖЕНИЯ;ветвями условного выражения;9;CombTerm;5;10;False;УСЛОВНОЕ ВЫРАЖЕНИЕ(25),  ВЕТВЬ ВЫРАЖЕНИЯ(25),  
ЗНАЧЕНИЕ УСЛОВНОГО ВЫРАЖЕНИЯ;значением условного выражения;10;CombTerm;4;8;False;УСЛОВНОЕ ВЫРАЖЕНИЕ(16),  
ВЛОЖЕННОСТЬ ФУНКЦИОНАЛЬНЫХ ВЫЗОВОВ;вложенность функциональных вызовов;10;CombTerm;1;2;False;ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(1),  ВЛОЖЕННОСТЬ ВЫЗОВОВ(1),  
ОПИСАНИЕ ВЫЧИСЛИМЫХ ФУНКЦИЙ;описания вычислимых функций;12;CombTerm;1;2;False;ВЫЧИСЛИМАЯ ФУНКЦИЯ(1),  ОПИСАНИЕ ФУНКЦИЙ(1),  
ОПИСАНИЕ ОБЫЧНОЙ ФУНКЦИИ;описания обычной функции;12;CombTerm;1;2;False;ОБЫЧНАЯ ФУНКЦИЯ(1),  ОПИСАНИЕ ФУНКЦИИ(1),  
ВЫША БЕЗЫМЯННОЙ ФУНКЦИЯ-ДИЗЪЮНКЦИИ;выше безымянной функции-дизъюнкции;12;CombTerm;1;2;False;БЕЗЫМЯННАЯ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ(1),  ВЫША ФУНКЦИЯ-ДИЗЪЮНКЦИИ(1),  
СВЯЗЫВАНИЕ ФОРМАЛЬНЫХ ПАРАМЕТРОВ;Связывание формальных параметров;13;CombTerm;5;10;False;ФОРМАЛЬНЫЙ ПАРАМЕТР(25),  
ПЕРЕДАЧА ФАКТИЧЕСКИХ ПАРАМЕТРОВ;передача фактических параметров;13;CombTerm;1;2;False;ФАКТИЧЕСКИЙ ПАРАМЕТР(1),  ПЕРЕДАЧА ПАРАМЕТРОВ(1),  
ПОСТРОЕНИЕ РЕКУРСИВНОЙ ФУНКЦИИ;построения рекурсивной функции;13;CombTerm;2;4;False;РЕКУРСИВНАЯ ФУНКЦИЯ(4),  ПОСТРОЕНИЕ ФУНКЦИИ(4),  
ВЫЧИСЛИМОСТЬ ЛИСПОВСКОГО СПИСКА;вычислимости лисповского списка;15;CombTerm;1;2;False;ЛИСПОВСКИЙ СПИСОК(1),  ВЫЧИСЛИМОСТЬ СПИСКА(1),  
ВЫША БАЗОВОГО НАБОРА;выше базового набора;16;CombTerm;1;0;False;БАЗОВЫЙ НАБОР(1),  ВЫША НАБОРА(1),  
ОСНОВА БАЗОВОГО НАБОРА;основе базового набора;16;CombTerm;6;10;False;БАЗОВЫЙ НАБОР(36),  
ЭЛЕМЕНТ ВЕРХНЕГО УРОВНЯ;элемент верхнего уровня;16;CombTerm;13;26;False;ВЕРХНИЙ УРОВЕНЬ(169),  
ДЕЛЕНИЕ ЦЕЛЫХ ЧИСЕЛ;деления целых чисел;17;CombTerm;1;2;False;ДЕЛЕНИЕ ЧИСЕЛ(1),  
ПРОГРАММИРОВАНИЕ РЕКУРСИВНЫХ ФУНКЦИЙ;программирование рекурсивных функций;20;CombTerm;1;2;False;РЕКУРСИВНАЯ ФУНКЦИЯ(1),  ПРОГРАММИРОВАНИЕ ФУНКЦИЙ(1),  
ДЛИНА ПУСТОГО СПИСКА;длина пустого списка;21;CombTerm;2;4;False;ПУСТОЙ СПИСОК(4),  ДЛИНА СПИСКА(4),  
ВЕТВЬ РЕКУРСИВНОЙ ФУНКЦИИ;Ветви рекурсивной функции;21;CombTerm;1;2;False;РЕКУРСИВНАЯ ФУНКЦИЯ(1),  ВЕТВЬ ФУНКЦИИ(1),  
ВЫПОЛНЕНИЕ РЕКУРСИВНЫХ ВЫЗОВОВ;выполнения рекурсивных вызовов;21;CombTerm;1;2;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  
ПРОЦЕСС РЕКУРСИВНЫХ ВЫЗОВОВ;процессе рекурсивных вызовов;23;CombTerm;1;2;False;РЕКУРСИВНЫЙ ВЫЗОВ(1),  
ПОИСК НУЖНОГО ПОДСПИСКА;поиска нужного подсписка;23;CombTerm;1;0;False;НУЖНЫЙ ПОДСПИСОК(1),  ПОИСК ПОДСПИСКА(1),  
ПРОГРАММИРОВАНИЕ РЕКУРСИВНОЙ ВЕТВИ;программировании рекурсивной ветви;24;CombTerm;1;2;False;РЕКУРСИВНАЯ ВЕТВЬ(1),  ПРОГРАММИРОВАНИЕ ВЕТВИ(1),  
ПОНЯТИЕ ЛИСПОВСКОГО СПИСКА;понятие лисповского списка;25;CombTerm;1;2;False;ЛИСПОВСКИЙ СПИСОК(1),  ПОНЯТИЕ СПИСКА(1),  
ВЛОЖЕНИЕ ТОЧЕЧНЫХ ПАР;вложений точечных пар;25;CombTerm;1;2;False;ВЛОЖЕНИЕ ПАР(1),  
СПИСОК ВЕРХНЕГО УРОВНЯ;списка верхнего уровня;27;CombTerm;1;0;False;ВЕРХНИЙ УРОВЕНЬ(1),  СПИСОК УРОВНЯ(1),  
ПРЕИМУЩЕСТВО ТОЧЕЧНОЙ ЗАПИСИ;преимущество точечной записи;27;CombTerm;1;2;False;ТОЧЕЧНАЯ ЗАПИСЬ(1),  ПРЕИМУЩЕСТВО ЗАПИСИ(1),  
ТАБЛИЦА СИМВОЛЬНЫХ АТОМОВ;таблицу символьных атомов;29;CombTerm;3;4;False;СИМВОЛЬНЫЙ АТОМ(9),  ТАБЛИЦА АТОМОВ(9),  
РОЛЬ ФОРМАЛЬНОГО ПАРАМЕТРА;роли формального параметра;29;CombTerm;1;2;False;ФОРМАЛЬНЫЙ ПАРАМЕТР(1),  РОЛЬ ПАРАМЕТРА(1),  
ИСКЛЮЧЕНИЕ ВНЕШНЕГО ИМЕНИ;исключением внешнего имени;29;CombTerm;1;2;False;ВНЕШНЕЕ ИМЯ(1),  ИСКЛЮЧЕНИЕ ИМЕНИ(1),  
ПРЕДСТАВЛЕНИЕ СИМВОЛЬНОГО АТОМА;представлением символьного атома;30;CombTerm;1;0;False;СИМВОЛЬНЫЙ АТОМ(1),  ПРЕДСТАВЛЕНИЕ АТОМА(1),  
КОМПЬЮТЕР СПИСОЧНЫХ СТРУКТУР;компьютера списочных структур;30;CombTerm;1;0;False;СПИСОЧНАЯ СТРУКТУРА(1),  КОМПЬЮТЕР СТРУКТУР(1),  
УКАЗАТЕЛЬ СПИСОЧНЫХ СТРУКТУР;указатели списочных структур;31;CombTerm;1;2;False;СПИСОЧНАЯ СТРУКТУРА(1),  УКАЗАТЕЛЬ СТРУКТУР(1),  
ЧИСЛО СПИСОЧНЫХ ЯЧЕЕК;число списочных ячеек;31;CombTerm;1;2;False;СПИСОЧНАЯ ЯЧЕЙКА(1),  
ЧИСЛО ТОЧЕЧНЫХ ПАР;числу точечных пар;31;CombTerm;1;0;False;ЧИСЛО ПАР(1),  
ПРЕДСТАВЛЕНИЕ СПИСОЧНЫХ СТРУКТУР;представление списочных структур;31;CombTerm;1;0;False;СПИСОЧНАЯ СТРУКТУРА(1),  ПРЕДСТАВЛЕНИЕ СТРУКТУР(1),  
ТЕРМИН ВНУТРЕННЕГО ПРЕДСТАВЛЕНИЯ;терминах внутреннего представления;31;CombTerm;1;2;False;ТЕРМИН ПРЕДСТАВЛЕНИЯ(1),  
УКАЗАТЕЛЬ ЛИСПОВСКИХ ОБЪЕКТОВ;указатели лисповских объектов;32;CombTerm;1;2;False;УКАЗАТЕЛЬ ОБЪЕКТОВ(1),  
