Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermRule;TermRepeatRule
МГА;МГУ;2;NonDictTerm;1;1;False;0;0
ЛОМОНОСОВ;Ломоносова;2;NonDictTerm;1;1;False;0;0
РЕКУРСИЯ;рекурсии;2;NonDictTerm;68;68;True;0;0
ПРИЕМЫ;приемы;2;NonDictTerm;4;4;False;0;0
РАССМОТРИВАЮТСЯ;Рассмотриваются;3;NonDictTerm;1;1;False;0;0
ФУНКЦИОНАЛЫ;функционалов;3;NonDictTerm;91;91;True;0;0
ФУНКЦИИ;функций;3;NonDictTerm;818;818;True;0;0
ОПИСАНИЕ;описание;3;NonDictTerm;5;4;False;0;0
ОТЛИЧИЯ;отличий;3;NonDictTerm;16;16;False;0;0
ПРИСВАИВАНИЕ;присваивания;3;NonDictTerm;9;9;True;0;0
ДР;др;3;NonDictTerm;7;7;False;0;0
РАЗДЕЛ;разделе;3;NonDictTerm;13;13;False;0;0
БАЕВ;Баеву;3;NonDictTerm;1;1;False;0;0
БАЕВА;Баеву;3;NonDictTerm;1;1;False;0;0
ПОДГОТОВКА;подготовке;3;NonDictTerm;1;1;False;0;0
БОЛЬШИНСТВО;большинстве;3;NonDictTerm;7;7;False;0;0
АТОМЫ;Атомы;3;NonDictTerm;221;221;True;0;0
ОЧЕРЕДЬ;очередь;3;NonDictTerm;5;5;False;0;0
ИДЕНТИФИКАТОРЫ;идентификаторы;3;NonDictTerm;2;2;False;0;0
БУКВЫ;букв;3;NonDictTerm;11;10;False;0;0
ЦИФРЫ;цифр;3;NonDictTerm;6;6;False;0;0
СИМВОЛЫ;символов;3;NonDictTerm;39;39;True;0;0
СПЕЦЗНАКИ;спецзнаки;3;NonDictTerm;2;2;False;0;0
РЕГИСТР;регистр;3;NonDictTerm;4;3;False;0;0
МНОЖЕСТВО;множества;3;NonDictTerm;20;20;False;0;0
ИСТИНА;истина;4;NonDictTerm;5;5;False;0;0
ЛОЖЬ;ложь;4;NonDictTerm;2;2;False;0;0
БНФ;БНФ;4;NonDictTerm;8;8;False;0;0
ФОРМУЛЫ;формулами;4;NonDictTerm;7;7;False;0;0
ПРОБЕЛ;пробел;4;NonDictTerm;13;12;False;0;0
СКОБКА;скобки;4;NonDictTerm;34;34;False;0;0
ОБРАЗ;образом;4;NonDictTerm;39;39;False;0;0
ПАР;пар;4;NonDictTerm;47;47;False;0;0
ПРИНАДЛЕЖНОСТЬ;принадлежность;4;NonDictTerm;1;1;False;0;0
ПОСЛЕДОВАТЕЛЬНОСТЬ;последовательности;4;NonDictTerm;12;12;False;0;0
ЛИСП-ПРОГРАММА;лисп-программа;4;NonDictTerm;13;13;True;0;0
ЛИСП-ИНТЕРПРЕТАТОР;лисп-интерпретатор;5;NonDictTerm;19;18;False;0;0
НОТАЦИЯ;нотация;5;NonDictTerm;1;1;False;0;0
СЧЕТ;счет;5;NonDictTerm;7;7;False;0;0
ДЕЛЕНИЕ;деление;6;NonDictTerm;6;6;False;0;0
КЛАССЫ;классы;6;NonDictTerm;3;2;False;0;0
ИНТЕРПРЕТАТОР;интерпретатор;6;NonDictTerm;9;9;False;0;0
НЕЯ;нее;6;NonDictTerm;6;6;False;0;0
СООТВЕТСТВИЕ;соответствии;6;NonDictTerm;2;2;False;0;0
ИЕРАРХИЯ;иерархией;6;NonDictTerm;1;1;False;0;0
ОПЕРАЦИЯ;операции;6;NonDictTerm;30;30;False;0;0
РАСЩЕПЛЕНИЕ;расщепления;6;NonDictTerm;3;3;False;0;0
ФУНКЦИЯ-КОНСТРУКТОР;функция-конструктор;7;NonDictTerm;2;2;False;0;0
СОКРАЩЕНИЕ;сокращение;7;NonDictTerm;5;5;False;0;0
АНГЛ;англ;7;NonDictTerm;5;5;False;0;0
ОТНОШЕНИЕ;отношению;7;NonDictTerm;3;3;False;0;0
ДАНЫ;даны;7;NonDictTerm;3;3;False;0;0
ПРЕДИКАТЫ;предикатами;7;NonDictTerm;13;13;False;0;0
ЗАВИСИМОСТЬ;зависимости;7;NonDictTerm;5;5;False;0;0
НАЛИЧИЕ;наличия;7;NonDictTerm;3;3;False;0;0
ФУНКЦИЯ-ПРЕДИКАТ;Функция-предикат;8;NonDictTerm;12;12;False;0;0
СОВПАДЕНИЕ;совпадение;8;NonDictTerm;1;1;False;0;0
АРГУМЕНТ-АТОМЫ;аргументов-атомов;8;NonDictTerm;3;3;False;0;0
НЕОПРЕДЕЛЬНИ;неопределен;8;NonDictTerm;1;1;False;0;0
НЕОПРЕДЕЛЕН;неопределен;8;NonDictTerm;1;1;False;0;0
СПОСОБЫ;способами;8;NonDictTerm;8;8;False;0;0
СРАВНЕНИЕ;сравнение;8;NonDictTerm;18;18;False;0;0
ПРОВЕРКА;проверки;8;NonDictTerm;18;18;False;0;0
РАВЕНСТВО;равенства;8;NonDictTerm;17;17;False;0;0
ШЕСТАЯ;Шестая;8;NonDictTerm;1;1;False;0;0
КАВЫЧКА;кавычки;8;NonDictTerm;5;4;False;0;0
АПОСТРОФ;апострофа;9;NonDictTerm;3;3;False;0;0
БЛОКИРОВКА;блокировки;9;NonDictTerm;26;26;False;0;0
ЗНАЧИМОСТЬ;значимости;9;NonDictTerm;1;1;False;0;0
УСЛОВИЕ;условие;9;NonDictTerm;25;25;False;0;0
ВЕТВИ;ветвями;9;NonDictTerm;70;70;False;0;0
ВЫРАЖЕНИЕ-ФОРМА;выражения-формы;9;NonDictTerm;9;9;False;0;0
ПОРЫ;пор;10;NonDictTerm;11;11;False;0;0
СТРОКА;строке;10;NonDictTerm;21;21;False;0;0
СЛОЖЕНИЕ;сложение;10;NonDictTerm;6;6;False;0;0
МОДУЛЬ;модулю;10;NonDictTerm;2;2;False;0;0
КОМБИНАЦИЯ;комбинации;11;NonDictTerm;4;3;False;0;0
КОНЪЮНКЦИЯ;конъюнкцию;11;NonDictTerm;6;5;False;0;0
ДИЗЪЮНКЦИЯ;дизъюнкцию;11;NonDictTerm;6;6;False;0;0
МЕСТО;место;11;NonDictTerm;7;7;False;0;0
ТРАКТОВКА;трактовка;11;NonDictTerm;1;1;False;0;0
ГИБКОСТЬ;гибкость;11;NonDictTerm;2;1;False;0;0
АЛГОРИТМ;алгоритм;11;NonDictTerm;1;1;False;0;0
ПЕРЕДАЧА;передаче;11;NonDictTerm;5;5;False;0;0
ЛЯМБДА-ВЫРАЖЕНИЕ;лямбда-выражением;11;NonDictTerm;31;31;False;0;0
ТЕРМИН;термин;11;NonDictTerm;3;3;False;0;0
ЛЯМБДА-ИСЧИСЛЕНИЕ;лямбда-исчисления;11;NonDictTerm;1;1;False;0;0
ЛЯМБДА-СПИСОК;лямбда-список;12;NonDictTerm;4;4;False;0;0
ЧАСТНОЕ;частном;12;NonDictTerm;2;2;False;0;0
ТЕЛО;Телом;12;NonDictTerm;62;62;False;0;0
ЛЯМБДА-ВЫЗОВ;лямбда-вызовом;12;NonDictTerm;22;22;False;0;0
ВЫША;выше;12;NonDictTerm;7;7;False;0;0
ХАРАКТЕР;характер;13;NonDictTerm;2;1;False;0;0
МЕХАНИЗМ;механизм;13;NonDictTerm;5;5;False;0;0
ПРИСУТСТВИЕ;присутствие;13;NonDictTerm;1;1;False;0;0
ЧАЩА;чаще;13;NonDictTerm;3;3;False;0;0
ИМЕНОВАНИЕ;именования;13;NonDictTerm;1;1;False;0;0
ОБРАЗУЮЩАЯ;образующей;14;NonDictTerm;1;1;False;0;0
СЛУЖАЩИЙ;служащий;14;NonDictTerm;5;5;False;0;0
ФОРМИРОВАНИЕ;формирования;14;NonDictTerm;3;2;False;0;0
АРГУМЕНТ-СПИСОК;аргумента-списка;14;NonDictTerm;6;6;False;0;0
КОТОР;котором;15;NonDictTerm;11;11;False;0;0
ДЕСЯТКИ;десятков;16;NonDictTerm;1;1;False;0;0
СОТНИ;сотен;16;NonDictTerm;1;1;False;0;0
ЛИСП-ФУНКЦИИ;лисп-функций;16;NonDictTerm;4;2;False;0;0
НАЗНАЧЕНИЕ;назначению;16;NonDictTerm;1;1;False;0;0
ГРУППА;группе;16;NonDictTerm;7;7;False;0;0
СУПЕРПОЗИЦИЯ;суперпозиции;16;NonDictTerm;10;10;False;0;0
СПИСОК-АРГУМЕНТ;списка-аргумента;16;NonDictTerm;19;19;False;0;0
ТРЕТИЙ;третий;16;NonDictTerm;3;3;False;0;0
ФУНКЦИЯ-СУПЕРПОЗИЦИЯ;функции-суперпозиции;16;NonDictTerm;2;1;False;0;0
ПОВТОРЕНИЕ;повторение;16;NonDictTerm;2;2;False;0;0
СМ;см;17;NonDictTerm;4;4;False;0;0
ОРГАНИЗАЦИЯ;организации;17;NonDictTerm;3;2;False;0;0
ВЫЧИТАНИЕ;вычитания;17;NonDictTerm;4;3;False;0;0
УМНОЖЕНИЕ;умножения;17;NonDictTerm;3;3;False;0;0
ПРИБАВЛЕНИЕ;прибавления;2;NonDictTerm;1;1;False;0;0
ЕДИНИЦА;единицы;18;NonDictTerm;3;3;False;0;0
НЕРАВЕНСТВО;неравенство;18;NonDictTerm;1;1;False;0;0
ПРОХОД;проход;21;NonDictTerm;10;10;False;0;0
ДВИЖЕНИЕ;движение;21;NonDictTerm;2;2;False;0;0
НУЛЬ;нулю;21;NonDictTerm;1;1;False;0;0
КОРОЧА;короче;21;NonDictTerm;3;3;False;0;0
ИСЧЕРПАНИЕ;исчерпании;21;NonDictTerm;2;2;False;0;0
СТЕК;стек;21;NonDictTerm;24;24;False;0;0
СТЕКИ;стек;21;NonDictTerm;1;1;False;0;0
АРГУМЕНТ-ВЫЗОВ;аргументом-вызовом;22;NonDictTerm;1;1;False;0;0
СТРЕЛКА;стрелка;22;NonDictTerm;2;2;False;0;0
ЗАНЕСЕНИЕ;занесение;22;NonDictTerm;1;1;False;0;0
СПРАВА;справа;22;NonDictTerm;5;5;False;0;0
ПЕРЕМЕННЫЙ-ПАРАМЕТР;переменной-параметра;22;NonDictTerm;2;0;False;0;0
СТАРЫЕ;старые;22;NonDictTerm;4;4;False;0;0
ПОИСК;поиск;23;NonDictTerm;9;9;False;0;0
ЗАВЕРШАЕМОСТЬ;Завершаемость;23;NonDictTerm;1;1;False;0;0
АТОМ-ЗНАЧЕНИЕ;атом-значение;23;NonDictTerm;3;1;False;0;0
ПОДСПИСОК;подсписка;23;NonDictTerm;10;9;False;0;0
КОНКАТЕНАЦИЯ;конкатенацией;2;NonDictTerm;3;2;False;0;0
ТОЙ;той;24;NonDictTerm;2;2;False;0;0
СЛИЯНИЕ;слияния;24;NonDictTerm;6;6;False;0;0
ПРИСОЕДИНЕНИЕ;присоединения;24;NonDictTerm;5;5;False;0;0
СОЕДИНЕНИЕ;соединении;25;NonDictTerm;4;4;False;0;0
ПРОСТЕЙШЕЕ;простейшем;25;NonDictTerm;1;1;False;0;0
ТОЧКА;точка;25;NonDictTerm;10;10;False;0;0
ПЕРЕВОД;перевода;26;NonDictTerm;12;12;False;0;0
ОБОЗНАЧЕНИЯ;обозначениях;27;NonDictTerm;2;1;False;0;0
ПРЕОБРАЗУЕМОЕ;преобразуемого;27;NonDictTerm;2;1;False;0;0
ПРОСТОЙ;простое;27;NonDictTerm;7;7;False;0;0
СЕЛЕКТОРЫ;селекторов;27;NonDictTerm;1;1;False;0;0
КОНСТРУКТОР;конструктора;27;NonDictTerm;1;1;False;0;0
ДЕРЕВО;дерева;29;NonDictTerm;9;9;False;0;0
ЛИСТЫ;листья;29;NonDictTerm;5;5;False;0;0
ПОДДЕРЕВА;поддеревья;29;NonDictTerm;9;9;False;0;0
РИС;Рис;29;NonDictTerm;9;9;False;0;0
ТАБЛИЦА;таблицу;29;NonDictTerm;17;16;False;0;0
ИСКЛЮЧЕНИЕ;исключением;29;NonDictTerm;8;8;False;0;0
ИНТЕРПРЕТАЦИЯ;интерпретация;29;NonDictTerm;1;1;False;0;0
УКАЗАТЕЛИ;указатели;30;NonDictTerm;18;18;False;0;0
ССЫЛКА;ссылки;30;NonDictTerm;4;4;False;0;0
УНИКАЛЬНОСТЬ;Уникальность;30;NonDictTerm;1;1;False;0;0
ПОЛЯ;полей;30;NonDictTerm;4;4;False;0;0
ПОЛЬ;поля;30;NonDictTerm;2;2;False;0;0
ПОЛЕ;поля;30;NonDictTerm;1;1;False;0;0
АДРЕС;Адрес;30;NonDictTerm;4;4;False;0;0
СОВОКУПНОСТЬ;совокупность;31;NonDictTerm;1;1;False;0;0
ПОДСОЕДИНЕНИЕ;подсоединения;32;NonDictTerm;4;3;False;0;0
НЕИЗМЕНЯЕМОСТЬ;Неизменяемость;33;NonDictTerm;1;1;False;0;0
ЦИКЛ;цикл;33;NonDictTerm;38;38;True;0;0
ДУБЛИКАТ;дубликат;33;NonDictTerm;2;2;False;0;0
УТИЛИТ;утилиту;34;NonDictTerm;2;1;False;0;0
ПРЕДНАЗНАЧЕНИЕ;предназначение;34;NonDictTerm;1;1;False;0;0
ОСУЩЕСТВЛЕНИЕ;осуществление;34;NonDictTerm;1;1;False;0;0
ГЛАВНЫЕ;главных;34;NonDictTerm;2;1;False;0;0
УПРАВЛЕНИЕ;управления;35;NonDictTerm;2;2;False;0;0
ПРОТЯЖЕНИЕ;протяжении;35;NonDictTerm;1;1;False;0;0
ПАСКАЛЬ;Паскаль;35;NonDictTerm;4;4;False;0;0
ОПЕРАТОР;оператор;35;NonDictTerm;5;4;False;0;0
КОММЕНТАРИЙ;комментарии;35;NonDictTerm;4;4;False;0;0
ФУНКЦИЯ-ОПЕРАЦИЯ;функции-операции;36;NonDictTerm;1;1;False;0;0
СУММА;суммы;37;NonDictTerm;10;10;False;0;0
ПРОИЗВЕДЕНИЕ;произведения;37;NonDictTerm;15;15;False;0;0
КЛАВИАТУРА;клавиатуры;37;NonDictTerm;2;2;False;0;0
ФАЙЛ;файле;37;NonDictTerm;13;13;False;0;0
ЛЕГКОСТЬ;легкость;37;NonDictTerm;1;1;False;0;0
РАМКИ;рамках;37;NonDictTerm;2;2;False;0;0
ЗАГРУЗКА;загрузки;37;NonDictTerm;8;8;False;0;0
ИСПОЛНЕНИЕ;исполнения;37;NonDictTerm;3;3;False;0;0
ТРАТА;трата;38;NonDictTerm;1;1;False;0;0
СОЗДАНИЕ;создание;38;NonDictTerm;3;3;False;0;0
УМОЛЧАНИЕ;умолчанию;38;NonDictTerm;2;2;False;0;0
ПОДВЫРАЖЕНИЕ;подвыражение;40;NonDictTerm;5;5;False;0;0
НОМЕР;Номер;40;NonDictTerm;2;1;False;0;0
СЛОЖНОСТЬ;Сложность;40;NonDictTerm;3;2;False;0;0
ХАРАКТЕРИСТИКА;характеристикой;40;NonDictTerm;1;1;False;0;0
ИТЕРАЦИИ;итераций;41;NonDictTerm;1;1;False;0;0
РАСХОДЫ;расходов;41;NonDictTerm;1;1;False;0;0
КОМПИЛЯТОРЫ;компиляторы;41;NonDictTerm;1;1;False;0;0
СДВИГ;сдвиг;42;NonDictTerm;2;2;False;0;0
ПРЕОБРАЗУЮЩИЕ;преобразующие;43;NonDictTerm;1;1;False;0;0
АЛЬТЕРНАТИВЫ;альтернативам;43;NonDictTerm;1;1;False;0;0
СПИСОК-ОБРАЩЕНИЕ;список-обращение;43;NonDictTerm;2;2;False;0;0
ВХОЖДЕНИЕ;вхождение;45;NonDictTerm;6;4;False;0;0
ПОЛУЧЕНИЕ;получения;45;NonDictTerm;6;5;False;0;0
ИТОГ;итоге;47;NonDictTerm;5;5;False;0;0
ОПОР;опора;49;NonDictTerm;1;1;False;0;0
ОПОРА;опора;49;NonDictTerm;1;1;False;0;0
ВВЕДЕНИЕ;введение;49;NonDictTerm;2;2;False;0;0
ПЕРЕСЧЕТ;пересчета;49;NonDictTerm;6;6;False;0;0
ДУБЛИРОВАНИЕ;дублирование;49;NonDictTerm;2;1;False;0;0
ПРАКТИКА;практике;50;NonDictTerm;1;1;False;0;0
РЕВЕРСИРУЮЩАЯ;реверсирующей;52;NonDictTerm;1;1;False;0;0
НАПРАВЛЕНИЯ;направлениях;53;NonDictTerm;3;2;False;0;0
РЕВЕРСИРОВАННЫЕ;реверсированные;53;NonDictTerm;1;1;False;0;0
УДАЛЕНИЕ;удаления;54;NonDictTerm;3;1;False;0;0
ОБЪЕДИНЕНИЕ;объединении;54;NonDictTerm;2;2;False;0;0
СОХРАНЕНИЕ;сохранение;56;NonDictTerm;2;1;False;0;0
ВОЗВРАТ;возврате;2;NonDictTerm;1;1;False;0;0
СПИСОК-ПАРАМЕТР;список-параметр;57;NonDictTerm;1;1;False;0;0
ДОБАВЛЕНИЕ;добавление;57;NonDictTerm;3;2;False;0;0
ПЕРЕСЕЧЕНИЕ;пересечение;59;NonDictTerm;1;1;False;0;0
ЧАСТОТА;частоту;60;NonDictTerm;2;2;False;0;0
ИНТЕГРАЛ;интеграла;60;NonDictTerm;1;1;False;0;0
ЭЛЕМЕНТ-ЧИСЛО;элемент-число;61;NonDictTerm;1;1;False;0;0
СХЕМА;схеме;61;NonDictTerm;3;3;False;0;0
ЧИСЛО-ЭЛЕМЕНТЫ;чисел-элементов;61;NonDictTerm;1;1;False;0;0
СПИСОК-РЕЗУЛЬТАТ;список-результат;61;NonDictTerm;4;4;False;0;0
ЗАМЕНА;заменой;61;NonDictTerm;5;5;False;0;0
ПРИЧИНА;Причина;61;NonDictTerm;4;2;False;0;0
КВОТИРОВАНИЕ;квотирования;62;NonDictTerm;7;6;False;0;0
ОТДЕЛЬНОСТЬ;отдельности;63;NonDictTerm;1;1;False;0;0
ПРЕФИКС;префикс;64;NonDictTerm;1;1;False;0;0
ОТОБРАЖЕНИЕ;отображение;64;NonDictTerm;2;2;False;0;0
ФУНКЦИЯ-СЕЛЕКТОР;функцией-селектором;64;NonDictTerm;1;1;False;0;0
ЗАМЫКАНИЕ;Замыкание;66;NonDictTerm;8;4;True;0;0
ПРОГРАММИСТ;программиста;68;NonDictTerm;1;1;False;0;0
РЕДУКЦИЯ;редукцию;70;NonDictTerm;5;5;False;0;0
СВЕРТКА;свертку;70;NonDictTerm;3;3;False;0;0
СВЕРТОК;свертку;70;NonDictTerm;1;1;False;0;0
ВСТАВКА;вставка;71;NonDictTerm;4;4;False;0;0
НЕУБЫВАНИЕ;неубыванию;71;NonDictTerm;1;1;False;0;0
МАКСИМУМ;максимума;71;NonDictTerm;3;3;False;0;0
КОММУТАТИВНОСТЬ;коммутативности;72;NonDictTerm;1;1;False;0;0
ЭЛЕМЕНТ-АТОМ;элементом-атомом;73;NonDictTerm;3;3;False;0;0
КОРТЕЖ-ПАРЫ;кортежей-пар;73;NonDictTerm;1;1;False;0;0
КОРТЕЖ-ПАР;кортежей-пар;73;NonDictTerm;1;1;False;0;0
ДОПОЛНЕНИЕ;дополнение;73;NonDictTerm;1;1;False;0;0
СПИСОК-МНОЖЕСТВО;списку-множеству;73;NonDictTerm;1;1;False;0;0
ВЗГЛЯД;взгляд;73;NonDictTerm;1;1;False;0;0
АНАЛОГ;аналог;74;NonDictTerm;1;1;False;0;0
АРГУМЕНТ-ФУНКЦИЯ;аргумента-функции;74;NonDictTerm;1;1;False;0;0
ПОДМНОЖЕСТВА;подмножеств;75;NonDictTerm;10;9;False;0;0
БУЛЕАН;булеан;75;NonDictTerm;1;1;False;0;0
ЗАКЛЮЧЕНИЕ;заключение;75;NonDictTerm;1;1;False;0;0
КОМПОЗИЦИЯ;композицию;78;NonDictTerm;1;1;False;0;0
УДОБСТВО;удобства;79;NonDictTerm;1;1;False;0;0
ОТСТУПЛЕНИЕ;отступление;79;NonDictTerm;1;1;False;0;0
ПРАВИЛЬНОСТЬ;правильности;80;NonDictTerm;4;4;False;0;0
СИНУС;синус;80;NonDictTerm;2;2;False;0;0
КОСИНУС;косинус;80;NonDictTerm;2;2;False;0;0
ЭКСПОНЕНТ;экспонента;80;NonDictTerm;2;2;False;0;0
ЛОГАРИФМ;логарифм;80;NonDictTerm;2;2;False;0;0
ОКРУГЛЕНИЕ;округление;80;NonDictTerm;1;1;False;0;0
ВЫРАЖЕНИЕ-СУПЕРПОЗИЦИЯ;выражения-суперпозиции;81;NonDictTerm;4;4;False;0;0
ЧЕТВЕРТАЯ;четвертая;82;NonDictTerm;1;1;False;0;0
МАЛЫЕ;малых;82;NonDictTerm;2;2;False;0;0
ЛИТЕРЫ;литер;83;NonDictTerm;1;1;False;0;0
ИГРАЮЩИЕ;играющие;83;NonDictTerm;1;1;False;0;0
ИДЕНТИФИКАЦИЯ;идентификации;83;NonDictTerm;1;1;False;0;0
ДОПУЩЕНИЕ;Допущение;83;NonDictTerm;1;1;False;0;0
ПОТОК;потока;84;NonDictTerm;2;2;False;0;0
СИМВОЛ-КОНСТАНТА;Символ-константа;84;NonDictTerm;2;2;False;0;0
РАСПАКОВКА;распаковка;85;NonDictTerm;1;1;False;0;0
УПАКОВКА;упаковка;85;NonDictTerm;1;1;False;0;0
ОТЛАДКА;отладке;86;NonDictTerm;1;1;True;0;0
ПЕЧАТЬ;печать;86;NonDictTerm;2;2;False;0;0
ВКЛЮЧЕНИЕ;включение;88;NonDictTerm;1;1;False;0;0
ВЫРАЖЕНЬЕ-ФОРМЫ;выражений-форм;89;NonDictTerm;1;1;False;0;0
ВЫБОР;выбор;90;NonDictTerm;1;1;False;0;0
ВЫРАЖЕНИЕ-АРГУМЕНТ;выражение-аргумент;92;NonDictTerm;1;1;False;0;0
МАКРОСЫ;макросов;94;NonDictTerm;26;26;False;0;0
МАКРОСРЕДСТВО;Макросредства;94;NonDictTerm;2;2;True;0;0
МАКРОФУНКЦИИ;макрофункций;94;NonDictTerm;4;4;False;0;0
МАКРОВЫЗОВ;макровызова;94;NonDictTerm;18;18;False;0;0
РАСКРЫТИЕ;раскрытие;94;NonDictTerm;1;1;False;0;0
МАКРОРАСШИРЕНИЕ;макрорасширения;95;NonDictTerm;11;11;False;0;0
СТОРОНА;сторону;96;NonDictTerm;1;1;False;0;0
ЗАКВОТИРОВАННЫЕ;заквотированных;96;NonDictTerm;1;1;False;0;0
МАКРООПРЕДЕЛЕНИЕ;макроопределение;96;NonDictTerm;4;3;False;0;0
ПОДСТАВИТСЯ;подставится;97;NonDictTerm;1;1;False;0;0
ПЕРЕХОД;перехода;99;NonDictTerm;5;4;False;0;0
КОНСТРУКЦИЯ-ЦИКЛ;конструкция-цикл;99;NonDictTerm;1;1;False;0;0
НЕОБЯЗАТЕЛЬНОСТЬ;необязательность;99;NonDictTerm;1;1;False;0;0
НАЧ;нач;100;NonDictTerm;1;1;False;0;0
УСТАНОВКА;установка;100;NonDictTerm;1;1;False;0;0
ФУНКЦИЯ-ОПЕРАТОРЫ;функциями-операторами;2;NonDictTerm;1;1;False;0;0
ЯДРО ЯЗЫКА;Ядро языка;2;NonDictTerm;2;1,58496250072116;False;0;0
ПРОШЛОЕ ВЕКА;прошлого века;2;NonDictTerm;1;1,58496250072116;False;0;0
СТРУКТУРА ДАННЫХ;структура данных;2;NonDictTerm;1;1,58496250072116;False;0;0
НАЗВАНИЕ ЯЗЫКА;название языка;2;NonDictTerm;1;1,58496250072116;False;0;0
ПОПУЛЯРНОСТЬ ЛИСПА;популярности Лиспа;2;NonDictTerm;1;-1,58496250072116;False;0;0
ДИАЛЕКТЫ ЯЗЫКА;диалектов языка;2;NonDictTerm;6;9,50977500432694;False;0;0
РЕАЛИЗАЦИИ ЛИСПА;реализаций Лиспа;2;NonDictTerm;5;7,92481250360578;False;0;0
КОНЦЕПЦИИ ЛИСПА;концепций Лиспа;2;NonDictTerm;1;-1,58496250072116;False;0;0
РЯД АСПЕКТОВ;ряду аспектов;2;NonDictTerm;1;1,58496250072116;False;0;0
ДИАЛЕКТЫ ЛИСПА;диалектов Лиспа;2;NonDictTerm;22;34,8691750158654;False;0;0
РЕАЛИЗАЦИИ ЯЗЫКА;реализаций языка;2;NonDictTerm;2;3,16992500144231;False;0;0
ПРОГРАММИРОВАНИЕ ЗАДАЧ;программирования задач;2;NonDictTerm;2;1,58496250072116;False;0;0
СИЛО РЯДА;силу ряда;2;NonDictTerm;1;1,58496250072116;False;0;0
ЯСНОСТЬ СИНТАКСИСА;ясность синтаксиса;2;NonDictTerm;1;1,58496250072116;False;0;0
БАЗА ЯЗЫКА;базе языка;2;NonDictTerm;1;1,58496250072116;False;0;0
ПРИЕМЫ ПОСТРОЕНИЯ;приемы построения;2;NonDictTerm;2;1,58496250072116;False;0;0
ПОСТРОЕНИЕ ФУНКЦИОНАЛОВ;построения функционалов;3;NonDictTerm;2;0;False;0;0
ЛИСП КОНСТРУКЦИИ;Лиспа конструкции;3;NonDictTerm;1;1,58496250072116;False;0;0
КАРТИНА ЯЗЫКА;картины языка;3;NonDictTerm;1;-1,58496250072116;False;0;0
МНОЖЕСТВО АТОМОВ;множества атомов;3;NonDictTerm;1;1,58496250072116;False;0;0
РАЗДЕЛИТЕЛИ ЭЛЕМЕНТОВ;разделителей элементов;4;NonDictTerm;2;1,58496250072116;False;0;0
ЭЛЕМЕНТЫ СПИСКА;элементов списка;4;NonDictTerm;22;34,8691750158654;False;0;0
СПИСКИ ЯЗЫКА;списков языка;4;NonDictTerm;1;1,58496250072116;False;0;0
ВЛОЖЕННОСТЬ СПИСКОВ;вложенности списков;4;NonDictTerm;4;0;False;0;0
ГЛУБИНА СПИСКА;Глубиной списка;4;NonDictTerm;2;3,16992500144231;False;0;0
ПАР СКОБОК;пар скобок;4;NonDictTerm;1;1,58496250072116;False;0;0
ПОСЛЕДОВАТЕЛЬНОСТЬ АТОМОВ;последовательности атомов;4;NonDictTerm;1;1,58496250072116;False;0;0
