Term;MainPage;Pages;TermFrequency;CValue;inHeader;TermKind;TermType;TermSynonimTo;TermRule;TermRepeatRule;TermFragment;TermFullNormForm
ЗАГОЛОВОК РАЗДЕЛА;0;12, 19, 27, 28, 42;6;9,50977500432694;False;NonDictTerm;;;8;0;заголовок раздела;ЗАГОЛОВОК РАЗДЕЛ
СОКРАЩЕНИЕ СЛОВ;0;30, 36, 39, 40;7;11,0947375050481;False;NonDictTerm;;;8;0;сокращения слов;СОКРАЩЕНИЕ СЛОВО
НАЗВАНИЕ КНИГИ;0;36, 37;3;4,75488750216347;False;NonDictTerm;;;8;0;название книги;НАЗВАНИЕ КНИГА
СОДЕРЖАНИЕ СЛАЙДОВ;0;46, 47, 48;3;4,75488750216347;False;NonDictTerm;;;8;0;Содержание слайдов;СОДЕРЖАНИЕ СЛАЙД
ЗАГОЛОВОК СЛАЙДА;0;47, 48, 50;5;7,92481250360578;False;NonDictTerm;;;8;0;заголовок слайда;ЗАГОЛОВОК СЛАЙД
НАУЧНЫЙ СТИЛЬ;0;2, 3, 4, 6, 7;11;17,4345875079327;False;NonDictTerm;;;8;0;научного стиля;НАУЧНЫЙ СТИЛЬ
НАУЧНЫЕ ДОКЛАДЫ;0;2, 6, 43;5;7,92481250360578;False;NonDictTerm;;;8;0;научных докладов;НАУЧНЫЙ ДОКЛАД
НАУЧНАЯ ПРОЗА;0;3, 4, 6;3;4,75488750216347;False;NonDictTerm;;;8;0;научной прозы;НАУЧНЫЙ ПРОЗА
НАУЧНАЯ РЕЧЬ;0;4, 5;4;6,33985000288463;False;NonDictTerm;;;8;0;научной речи;НАУЧНЫЙ РЕЧЬ
ТИТУЛЬНЫЙ ЛИСТ;0;8, 26;10;15,8496250072116;False;NonDictTerm;;;8;0;титульный лист;ТИТУЛЬНЫЙ ЛИСТ
ОБЯЗАТЕЛЬНЫЕ РАЗДЕЛЫ;0;8, 17;3;4,75488750216347;False;NonDictTerm;;;8;0;обязательным разделам;ОБЯЗАТЕЛЬНЫЙ РАЗДЕЛ
СМЫСЛОВОЕ СОДЕРЖАНИЕ;0;11, 12;3;4,75488750216347;False;NonDictTerm;;;8;0;смыслового содержания;СМЫСЛОВОЙ СОДЕРЖАНИЕ
КЛЮЧЕВЫЕ СЛОВА;0;11, 22;8;12,6797000057693;False;NonDictTerm;;;8;0;ключевых слов;КЛЮЧЕВОЙ СЛОВО
ДОПОЛНИТЕЛЬНЫЕ РАЗДЕЛЫ;0;20, 22, 29;6;9,50977500432694;False;NonDictTerm;;;8;0;Дополнительные разделы;ДОПОЛНИТЕЛЬНЫЙ РАЗДЕЛ
ЗАГЛАВНЫЕ БУКВЫ;0;28, 43;5;7,92481250360578;False;NonDictTerm;;;8;0;заглавными буквами;ЗАГЛАВНЫЙ БУКВА
ПРОПИСНАЯ БУКВА;0;29, 42, 43;4;6,33985000288463;False;NonDictTerm;;;8;0;прописной буквы;ПРОПИСНОЙ БУКВА
ЭЛЕКТРОННЫЕ РЕСУРСЫ;0;36, 38, 39;8;12,6797000057693;False;NonDictTerm;;;8;0;электронных ресурсов;ЭЛЕКТРОННЫЙ РЕСУРС
ГРАФИЧЕСКИЕ СОКРАЩЕНИЯ;0;39, 40;5;7,92481250360578;False;NonDictTerm;;;8;0;графические сокращения;ГРАФИЧЕСКИЙ СОКРАЩЕНИЕ
ОСНОВНЫЙ ПУНКТ;0;46;2;3,16992500144231;False;NonDictTerm;;;8;0;основного пункта;ОСНОВНЫЙ ПУНКТ
СЛОЖНЫЕ СИНТАКСИЧЕСКИЕ КОНСТРУКЦИИ;0;2, 4, 11;3;6;False;NonDictTerm;;;8;0;сложных синтаксических конструкций;СЛОЖНЫЙ СИНТАКСИЧЕСКИЙ КОНСТРУКЦИЯ
ОСНОВНЫЙ ПУНКТ ДОКЛАДА;0;46;2;4;False;NonDictTerm;;;8;0;основного пункта доклада;ОСНОВНЫЙ ПУНКТ ДОКЛАД
